id,date,period,source_type,source_label,practice_action,outcome_type,theme,medium,intensity,confidence,affect,influence_on_direction,reflexive_note,evidence_link,tags,series,,,,,,,,,
Y1-J011,16/10/25,Year 1 / Term 1,supervision,Supervisor meeting on writing,documenting,clarification,method,text,2,3,unsettled,strengthened,The conversation exposed that my research area was still too broad which helped narrow the next ideation.,Supervision notes 2025-10-16,scope; method,journal,,,,,,,,,
Y1-J012,20/10/25,Year 1 / Term 1,making,Miro board of printed references and outputs,documenting,insight,graphic design,diagram,4,3,energised,opened,Seeing everything on the wall revealed clusters of concern that were less obvious on screen especially around classification and narrative.,Studio wall photos,print; synthesis,journal,,,,,,,,,
Y1-P003,20/10/25,Year 1 / Term 1,coding,GraphQL API gateway build,coding,confidence,data science,code,4,4,energised,strengthened,Getting the GraphQL gateway working turned scattered archival ambitions into an operational research environment.,Kanban wip board; Review of practice 9.docx,graphql; api; backend,practice,,,,,,,,,
Y1-W001,20/10/25,Year 1 / Term 1,writing,First pass at writing a long form literature review,writing,dead end,writing,text,5,1,uncertain,shifted,"Feedback from supervision suggested that the writing leaned too heavily on opposition and antithesis, which made the project feel more polarised than exploratory. ",Supervision transcript,writing; failure,writing,,,,,,,,,
Y1-P004,22/10/25,Year 1 / Term 1,graphic design,Public-facing research summary boilerplate,documenting,clarification,graphic design,text,2,3,curious,opened,Writing explanatory boilerplate showed that interface language is part of the argument not just a layer of support text.,Kanban wip board,public writing; interface; framing,practice,,,,,,,,,
Y1-J013,23/10/25,Year 1 / Term 1,reading,PCA / t-SNE / LDA methods reading,documenting,question,data science,text,2,2,curious,opened,I was drawn to reduction techniques visually but noted the risk of mistaking a compelling map for an explanation.,Methods of intent notes week 5,tsne; umap,journal,,,,,,,,,
Y1-J023,27/10/25,Year 1 / Term 1,conversation,Discussion with Brighton archivist on categorisation,reframing,insight,archive,conversation,3,3,energised,shifted,Building the ingestion schema exposed how much interpretation sits inside categorisation itself.,Meeting notes archivist,provenance; categorisation,journal,,,,,,,,,
Y1-P005,27/10/25,Year 1 / Term 1,coding,Taxonomy ingestion schema development,prototyping,insight,archive,code,4,3,curious,strengthened,The archivist's language around provenance sharpened how I thought about tracing influence without pretending causality.,Kanban wip board; Review of practice 9.docx,taxonomy; ingestion; schema,practice,,,,,,,,,
Y1-J014,28/10/25,Year 1 / Term 1,conversation,Peer discussion research questions,reframing,redirection,reflexivity,conversation,3,3,curious,shifted,The discussion suggested the authorities itself could become the dataset rather than merely supporting one.,Audio memo / notes,journal; coding,journal,,,,,,,,,
Y1-J015,03/11/25,Year 1 / Term 1,making,Prototype 01 interaction sketch,prototyping,dead end,interaction,prototype,4,2,frustrated,disrupted,I was overcommitting to form before I had a clear rationale for why this interaction mattered.,Prototype photo / Figma link,prototype; failure,journal,,,,,,,,,
Y1-P006,03/11/25,Year 1 / Term 1,documenting,Project glossary build,documenting,clarification,method,text,3,3,reflective,strengthened,The glossary slowed the pace in a useful way by forcing me to name terms precisely before building around them.,Kanban wip board; Review of practice 9.docx,glossary; terminology; method,practice,,,,,,,,,
Y1-J016,05/11/25,Year 1 / Term 1,coding,First GraphQL data transformation test,prototyping,clarification,visualisation,code,3,3,excited,strengthened,Transforming journal entries into source-action-outcome rows made the research process feel materially computable.,Repo commit,sankey; data,journal,,,,,,,,,
Y1-J017,07/11/25,Year 1 / Term 1,archival research,Scan of finding aids and catalogue language,documenting,insight,archive,text,3,3,curious,strengthened,I became more aware that descriptive language in archives carries institutional voice which I may also reproduce in my own labels.,Archive scan notes,finding aids; language,journal,,,,,,,,,
Y1-J018,10/11/25,Year 1 / Term 1,graphic design,Grid system experiment for journal UI,testing,confidence,graphic design,prototype,3,3,excited,strengthened,The grid imposed order on messy material without flattening it too much; that balance felt important.,Figma frames / screenshots,ui; grid,journal,,,,,,,,,
Y1-P007,10/11/25,Year 1 / Term 1,archival research,Visit to V&A East Storehouse,testing,insight,archive,conversation,3,3,excited,opened,Seeing the material in situ shifted the build from abstract infrastructure to a response to real records.,Kanban wip board; SR1 19 Nov 2025,storehouse; archive visit; access,practice,,,,,,,,,
Y1-P008,12/11/25,Year 1 / Term 1,data science,Taxonomy schema iteration after archive visit,testing,clarification,archive,code,3,3,curious,strengthened,The visit fed directly back into schema revision: the records resisted neat categorisation in practice.,Kanban wip board,taxonomy; iteration; records,practice,,,,,,,,,
Y1-J019,14/11/25,Year 1 / Term 1,reading,Human-centred AI paper,reframing,question,machine learning,text,2,2,uncertain,opened,The paper made me ask whether I was critiquing machine learning from outside it or trying to work from within its constraints.,Annotated reading,human-centred ai; ethics,journal,,,,,,,,,
Y1-P009,17/11/25,Year 1 / Term 1,data science,Data engineering pass on archive records,coding,clarification,data science,code,4,3,reflective,strengthened,Data engineering felt less like cleaning and more like interpretation under pressure.,Kanban wip board,data engineering; cleaning; pipeline,practice,,,,,,,,,
Y1-W002,17/11/25,Year 1 / Term 1,writing,Ethics submission,documenting,question,participation,text,3,3,uncertain,opened,Preparing the ethics submission made the practical and institutional conditions of the research more visible.,Ethics submission form,ethics; representation,writing,,,,,,,,,
Y1-J020,18/11/25,Year 1 / Term 1,data science,Cluster analysis on tagged references,testing,redirection,data science,code,4,3,curious,shifted,The clusters were weak but the process suggested that my hand-made categories were more revealing than automated groupings at this stage.,Notebook cluster-01,clustering; tags,journal,,,,,,,,,
Y1-P010,19/11/25,Year 1 / Term 1,supervision,Practice captured as archival intervention,reframing,insight,method,text,2,4,energised,shifted,Supervision clarified that the value of the build lay not in technical novelty but in what it made thinkable and discussable.,SR1 19 Nov 2025; Review of practice 9.docx,archival intervention; supervision; legibility,practice,,,,,,,,,
Y1-J021,20/11/25,Year 1 / Term 1,workshop,Methods workshop peer discussion,testing,redirection,method,conversation,3,3,curious,opened,Peer feedback pushed me to test process documentation itself as material  not just support evidence.,Workshop notes / audio clip,peer feedback; methods,journal,,,,,,,,,
Y1-J022,24/11/25,Year 1 / Term 1,coding,Tooltip prototype with reflexive notes,prototyping,confidence,reflexivity,code,4,4,excited,strengthened,Adding my own notes to hover states made the visualisation feel authored rather than dashboard-like.,UI commit tooltip-02,tooltip; reflexive note,journal,,,,,,,,,
Y1-P011,24/11/25,Year 1 / Term 1,coding,GraphQL + PostgreSQL build,prototyping,confidence,data science,code,5,4,excited,strengthened,Once the database and query layer started working together the project finally felt like a coherent system rather than a set of parts.,Kanban wip board; Review of practice 9.docx,postgresql; graphql; infrastructure,practice,,,,,,,,,
Y1-P012,26/11/25,Year 1 / Term 1,conversation,V&A research project proposal for greater autonomy,documenting,question,participation,text,2,2,unsettled,opened,Drafting a proposal to secure more autonomy made clear that access is not just logistical but methodological.,Kanban wip board; Review of practice 9.docx,proposal; access; stakeholder,practice,,,,,,,,,
Y1-P013,01/12/25,Year 1 / Term 1,documenting,Taxonomy documentation pass,documenting,clarification,archive,text,3,3,reflective,strengthened,Documenting the taxonomy made the hidden logic of the system visible enough to question and revise.,Kanban wip board; Review of practice 9.docx,documentation; taxonomy; accountability,practice,,,,,,,,,
Y1-J024,02/12/25,Year 1 / Term 1,reading,FT charting and data storytelling references,documenting,clarification,visualisation,text,2,3,curious,strengthened,Clear editorial definitions helped me justify Sankey as showing transformation rather than mere decoration.,Reading notes FT / storytelling,sankey; storytelling,journal,,,,,,,,,
Y1-P014,08/12/25,Year 1 / Term 1,machine learning,DDR archive API paired with testamentary traces measurement tests,testing,question,machine learning,code,4,2,curious,opened,Building a rough visualisation made the research feel more situated in my own practice rather than borrowed methods.,Kanban wip board; Review of practice 9.docx,api; measurement; machine learning,practice,,,,,,,,,
Y1-W003,09/12/25,Year 1 / Term 1,writing,Second pass at writing literature review,reframing,question,writing,text,4,2,uncertain,shifted,The second pass at the literature review marked a shift from trying to cover the field comprehensively towards using writing as a way of reframing the research question. The process remained uncertain.,Supervision memo Dec 26,writing; failure,writing,,,,,,,,,
Y1-J027,11/12/25,Year 1 / Term 1,graphic design,Typography pass on coded journal prototype,prototyping,clarification,graphic design,prototype,3,4,energised,strengthened,The model surfaced visual similarity  but I wasn't yet sure what a meaningful similarity looked like in this context.,Prototype v2 screenshots,type; hierarchy,journal,,,,,,,,,
Y1-J028,15/12/25,Year 1 / Term 1,archival research,Metadata field comparison across collections,mapping,insight,archive,text,3,3,curious,strengthened,Early measurement experiments were useful less for their outputs than for showing what the data could not yet support.,Comparison sheet / notes,metadata; comparison,journal,,,,,,,,,
Y1-P015,16/12/25,Year 1 / Term 1,supervision,Three-strand framework connected to practice,reframing,insight,method,text,2,4,energised,strengthened,"Typographic hierarchy started to separate evidence, interpretation and reflection more clearly.",SR1 16 Dec 2025; Review of practice 9.docx,epistemic drift; framework; practice,practice,,,,,,,,,
Y1-J029,18/12/25,Year 1 / Term 1,workshop,Code clinic on D3 and React integration,testing,confidence,visualisation,conversation,3,4,excited,strengthened,The comparison highlighted inconsistent descriptions reinforcing that data cleaning is also testamentary trace cleaning.,Clinic notes,d3; react,journal,,,,,,,,,
Y1-J030,22/12/25,Year 1 / Term 1,making,Printed end-of-term synthesis board,mapping,insight,reflexivity,image,4,3,reflective,opened,The supervision helped me see the apps as operationalising testamentary tracing rather than merely illustrating it.,Board photos,synthesis; choices,journal,,,,,,,,,
Y1-P016,05/01/26,Year 1 / Term 2,coding,API demonstration and MVP ingestion workflow,prototyping,confidence,archive,code,5,4,excited,strengthened,Seeing the custom component architecture made the project feel technically viable rather than speculative.,SR1 15 Jan 2026; Kanban wip board,mvp; ingestion; demo,practice,,,,,,,,,
Y1-J031,08/01/26,Year 1 / Term 2,reading,Schön and reflexive practice notes,reframing,clarification,reflexivity,text,3,3,curious,strengthened,The synthesis board showed how often I described decisions as inevitable; I started rewriting them as choices.,Annotated notebook Jan 8,schon; reflexivity,journal,,,,,,,,,
Y1-P017,08/01/26,Year 1 / Term 2,machine learning,ABBYY / OCR workflow exploration,testing,clarification,machine learning,code,3,3,curious,opened,A working MVP changed the tempo of the research: I could test archival ideas through use rather than only description.,Kanban wip board; SR1 19 Nov 2025,ocr; abbyy; handwriting,practice,,,,,,,,,
Y1-J032,12/01/26,Year 1 / Term 2,data science,Cleaned export of coded journal into CSV,documenting,confidence,data science,code,2,4,energised,strengthened,I began distinguishing reflection on outcomes from reflexivity about how I shaped those outcomes.,CSV export / git tag,csv; workflow,journal,,,,,,,,,
Y1-P018,12/01/26,Year 1 / Term 2,mapping,Core literature situating diagram,mapping,insight,visualisation,image,3,3,energised,strengthened,Testing ABBEY / OCR workflows made handwriting and scan quality into methodological variables rather than minor technical issues.,Kanban wip board,diagram; literature; positioning,practice,,,,,,,,,
Y1-J033,14/01/26,Year 1 / Term 2,critique,Interim review feedback,reframing,question,reflexivity,presentation,4,3,uncertain,shifted,"The dataset finally felt stable enough to circulate between Excel, Python and the prototype app.",Review slides / panel notes,crit; reflexive turn,journal,,,,,,,,,
Y1-P019,15/01/26,Year 1 / Term 2,making,Research instrument statement of work,documenting,clarification,method,text,3,4,reflective,strengthened,Drawing the literature as a situated diagram helped align the build with the argument rather than treat it as an add-on.,Kanban wip board; SR1 15 Jan 2026,instrument; statement of work; method,practice,,,,,,,,,
Y1-J034,17/01/26,Year 1 / Term 2,graphic design,Dark mode and dashboard restraint test,testing,clarification,graphic design,prototype,2,4,curious,strengthened,The review made me ask whether I was merely documenting process or actually exposing how my own choices shaped it.,UI screenshots Jan 17,ui; restraint,journal,,,,,,,,,
Y1-J035,21/01/26,Year 1 / Term 2,machine learning,Topic modelling test on reading corpus,testing,dead end,machine learning,code,4,2,frustrated,disrupted,Writing the research instrument statement clarified that the apps were instruments of inquiry rather than outputs alone.,Notebook lda-01,lda; corpus,journal,,,,,,,,,
Y1-P020,22/01/26,Year 1 / Term 2,workshop,Oral history course folded into app planning,reframing,question,archive,conversation,2,2,curious,opened,Reducing decorative treatment made the work read more as a research instrument than a portfolio piece.,Kanban wip board; SR1 19 Nov 2025,oral history; records; testimony,practice,,,,,,,,,
Y1-J036,23/01/26,Year 1 / Term 2,conversation,Peer critique on data categories,documenting,clarification,method,conversation,3,3,curious,strengthened,The topics were too generic to be useful; the failure reminded me that my corpus is small and heavily curated by me.,Crit notes peers 01-23,taxonomy; peer,journal,,,,,,,,,
Y1-P021,26/01/26,Year 1 / Term 2,mapping,Diagramming the research ecosystem,mapping,insight,visualisation,diagram,4,3,excited,shifted,The oral history training widened the build beyond records and metadata suggesting a more relational research environment.,Kanban wip board; Review of practice 9.docx,ecosystem; platforms; diagram,practice,,,,,,,,,
Y1-J037,27/01/26,Year 1 / Term 2,coding,Pinned detail panel interaction,prototyping,confidence,visualisation,code,4,4,excited,strengthened,Peer questioned overlap between theme and tags which prompted cleaner category boundaries.,Commit detail-panel,interaction; detail panel,journal,,,,,,,,,
Y1-P022,29/01/26,Year 1 / Term 2,archival research,Second V&A East Storehouse visit,testing,clarification,archive,conversation,3,3,unsettled,strengthened,The ecosystem diagram made it obvious that public archive admin layer and ML environment were one research system.,SR1 10 Feb 2026; Kanban wip board,storehouse; provenance; access,practice,,,,,,,,,
Y1-J038,30/01/26,Year 1 / Term 2,archival research,Revisit to digital catalogue with new lens,documenting,insight,archive,text,3,4,energised,shifted,The click-to-pin interaction gave the Sankey enough depth to carry reflective writing without clutter.,Fieldnotes revisit,taxonomy; institution,journal,,,,,,,,,
Y1-P023,02/02/26,Year 1 / Term 2,coding,Ingest V&A East Storehouse DDR material,prototyping,insight,archive,code,5,3,energised,strengthened,A second visit sharpened what the system would have to preserve about provenance sequence and material context.,Kanban wip board,ingestion; v&a; records,practice,,,,,,,,,
Y1-J039,03/02/26,Year 1 / Term 2,reading,Visualisation ethics reading,reframing,insight,ethics,text,3,3,unsettled,shifted,Returning after the review  I noticed how much my own category choices were mirroring institutional taxonomies.,Reading notes ethics,ethics; visualisation,journal,,,,,,,,,
Y1-J040,05/02/26,Year 1 / Term 2,coding,GraphQl parsing to Granite ML model,prototyping,confidence,visualisation,code,3,4,excited,strengthened,Ingestion made the build confront real heterogeneity in the material  forcing the system to become more flexible.,Commit filters-01,filters; affect,journal,,,,,,,,,
Y1-J041,09/02/26,Year 1 / Term 2,data science,Value weighting test using intensity score,testing,clarification,data science,code,3,3,curious,opened,"I started to treat omission, emphasis and smoothing as ethical acts in the interface not merely aesthetic ones.",Notebook weighting test,weights; metrics,journal,,,,,,,,,
Y1-P024,09/02/26,Year 1 / Term 2,machine learning,Innovation design retrieval pipeline test,testing,dead end,machine learning,code,4,2,frustrated,disrupted,Filters let the same data tell different stories which felt closer to reflexive reading than a single master narrative.,Kanban wip board; Review of practice 9.docx,innovationdesign; retrieval; limits,practice,,,,,,,,,
Y1-P025,10/02/26,Year 1 / Term 2,supervision,Rewrite build narrative for contemporary research audience,reframing,clarification,method,text,2,3,reflective,shifted,Weighting by intensity changed the story dramatically reminding me that value design is itself an argument.,SR1 10 Feb 2026,audience; narrative; rewrite,practice,,,,,,,,,
Y1-J042,12/02/26,Year 1 / Term 2,graphic design,Legend and label hierarchy revision,prototyping,clarification,graphic design,prototype,2,4,energised,strengthened,The retrieval tests showed that computational patterning can look persuasive before it becomes meaningful.,Figma prototype v3,labels; hierarchy,journal,,,,,,,,,
Y1-J043,16/02/26,Year 1 / Term 2,machine learning,Classifier sketch for thematic coding,testing,question,machine learning,code,3,2,uncertain,opened,The supervision pushed me to explain the apps in terms a contemporary research audience could understand.,Notebook classifier sketch,classification; coding,journal,,,,,,,,,
Y1-P026,16/02/26,Year 1 / Term 2,conversation,V&A conference call on access constraints,documenting,question,ethics,conversation,2,2,unsettled,opened,Toning down labels gave more space to the flows and notes which improved readability without losing nuance.,Kanban wip board; Review of practice 9.docx,access; redaction; ethics,practice,,,,,,,,,
Y1-J044,18/02/26,Year 1 / Term 2,workshop,Research methods seminar on situated knowledge,reframing,insight,reflexivity,conversation,3,4,energised,strengthened,The idea of semi-automating tags was tempting but I worried it would erase the reflexive labour I was trying to preserve.,Seminar notes 02-18,situated knowledge; methodology,journal,,,,,,,,,
Y1-J045,23/02/26,Year 1 / Term 2,archival research,Spreadsheet of collection anomalies,mapping,insight,archive,text,3,3,curious,strengthened,The access discussion confirmed that institutional restriction is part of the research condition not just an obstacle around it.,Anomaly spreadsheet,missing data; anomalies,journal,,,,,,,,,
Y1-J046,26/02/26,Year 1 / Term 2,conversation,Supervisor chat on contribution claims,documenting,question,method,text,2,3,unsettled,shifted,The seminar gave language for treating my coded dataset as situated rather than incomplete.,Supervision memo Feb 26,contribution; claims,journal,,,,,,,,,
Y1-P027,01/03/26,Year 1 / Term 2,archival research,Redacted boxes treated as design constraint,reframing,insight,ethics,text,3,3,unsettled,shifted,Anomalies and missing records became productive rather than annoying once I treated them as traces of institutional process.,SR1 10 Feb 2026; Review of practice 9.docx,gdpr; redaction; missingness,practice,,,,,,,,,
Y1-J047,02/03/26,Year 1 / Term 2,coding,Responsive diagramming layout pass,prototyping,confidence,visualisation,code,4,4,excited,strengthened,I began separating contribution to method from contribution to artefact in my notes.,Commit responsive-01,responsive; layout,journal,,,,,,,,,
Y1-W004,02/03/26,Year 1 / Term 2,writing,Ethics revision and approval,documenting,confidence,ethics,text,3,5,reflective,strengthened,Approval did not simply confirm that the work could proceed; it helped clarify the responsibilities built into the methods.,Ethics submission form,ethics; representation,writing,,,,,,,,,
Y1-J048,05/03/26,Year 1 / Term 2,reading,Paper on archives as interfaces,reframing,insight,archive,text,3,4,energised,shifted,What had felt like a blockage became analytically useful once I treated redaction as evidence of institutional control.,Annotated PDF March 5,archive; interface,journal,,,,,,,,,
Y1-J049,09/03/26,Year 1 / Term 2,graphic design,Colour system test for themes,testing,clarification,graphic design,prototype,2,4,curious,strengthened,Making the chart adapt to screen width exposed what was structurally essential in the visualisation.,Colour studies / screenshots,palette; category,journal,,,,,,,,,
Y1-P036,15/03/26,Year 1 / Term 2,mapping,DDR archive taxonomy,mapping,clarification,archive,diagram,4,4,reflective,strengthened,I started to think of the archive itself as an interaction design problem not just a source of content.,DDR archive taxonomy gallery card,taxonomy; authorities; archive; classification,practice,,,,,,,,,
Y1-P029,16/03/26,Year 1 / Term 2,supervision,Freeze practice development and turn material into argument,reframing,insight,reflexivity,text,2,4,reflective,shifted,Using too many colours made the categories feel fixed; a more restrained palette kept room for ambiguity.,SR1 16 Mar 2026,freeze; argument; reflexivity,practice,,,,,,,,,
Y1-J052,18/03/26,Year 1 / Term 2,critique,Mid-term crit on prototype language,reframing,clarification,graphic design,presentation,3,3,unsettled,shifted,Bringing transcriptions into the environment linked archival record and spoken recollection in one research space.,Crit notes March,language; labels,journal,,,,,,,,,
Y1-P037,18/03/26,Year 1 / Term 2,data science,PostgreSQL schema,documenting,clarification,data science,diagram,4,4,curious,strengthened,Monthly grouping gave the project a narrative spine without forcing chronology into every flow.,PostgreSQL schema gallery card,postgres; schema; database; infrastructure,practice,,,,,,,,,
Y1-P038,20/03/26,Year 1 / Term 2,making,PhD conceptual framework,mapping,insight,method,presentation,5,4,reflective,strengthened,The graph was more evocative than accurate but it suggested a parallel way of showing archival resemblance beyond metadata.,PhD conceptual framework slide,framework; strands; method; activation,practice,,,,,,,,,
Y1-P039,22/03/26,Year 1 / Term 2,machine learning,Testamentary traces ingested into machine learning,prototyping,clarification,machine learning,presentation,4,4,energised,strengthened,Freezing further feature work was difficult but productive: it revealed how easily building can displace analysis.,Testamentary traces ingested into machine learning diagram,embeddings; RAG; pipeline; archival traces,practice,,,,,,,,,
Y1-J053,23/03/26,Year 1 / Term 2,archival research,Diagramming ML data science space,documenting,insight,archive,diagram,3,3,energised,opened,Feedback suggested the copy still sounded too certain; I rewrote labels to acknowledge interpretation and choice.,Photo set archive cards,materiality; index cards,journal,,,,,,,,,
Y1-P030,23/03/26,Year 1 / Term 2,graphic design,API demo video for APR,documenting,confidence,graphic design,presentation,3,4,energised,strengthened,Handling physical records reminded me that the digital visualisation should still register material texture and absence.,Kanban wip board,demo video; apr; communication,practice,,,,,,,,,
Y1-P040,23/03/26,Year 1 / Term 2,mapping,Y1 APR literature review mapping,mapping,insight,visualisation,diagram,4,4,reflective,strengthened,Recording the demo turned the build into a communicable research object and exposed where my explanation still lagged behind the system.,Y1 APR literature review mapping gallery card,literature review; mapping; strands; synthesis,practice,,,,,,,,,
Y1-P041,24/03/26,Year 1 / Term 2,documenting,Plan to completion,documenting,confidence,method,presentation,3,5,energised,strengthened,Search made the dataset navigable as a journal not just a chart.,Plan to completion gallery card,planning; milestones; completion; thesis,practice,,,,,,,,,
Y1-J054,26/03/26,Year 1 / Term 2,coding,Search and highlight interaction,prototyping,confidence,visualisation,code,3,4,excited,strengthened,The chat challenged my use of 'model' and 'dataset' which pushed me to be more precise without becoming reductive.,Commit search-01,search; journal,journal,,,,,,,,,
Y1-J055,30/03/26,Year 1 / Term 2,conversation,Coffee chat with data scientist friend,reframing,question,data science,conversation,2,3,curious,opened,Pulling the APR materials together made it possible to name the three apps as a single research environment.,Voice memo March 30,terminology; dataset,journal,,,,,,,,,
Y1-P031,30/03/26,Year 1 / Term 2,prototyping,"Public archive API build, admin layer and ML environment articulated as one practice",mapping,insight,reflexivity,text,3,4,excited,strengthened,Scaling the dataset exposed where the visual logic held and where it collapsed into noise.,Kanban wip board; Review of practice 9.docx,platforms; ecology; apr,practice,,,,,,,,,
Y1-J056,02/04/26,Year 1 / Term 2,coding,Dummy dataset generation for stress test,testing,confidence,data science,code,4,4,excited,strengthened,Working through master and derivative assets made infrastructure visible as part of the argument rather than background support.,Script dummy-data.py,stress test; dummy data,journal,,,,,,,,,
Y1-P032,03/04/26,Year 1 / Term 2,coding,Cloud storage and asset pipeline stabilisation,prototyping,clarification,archive,code,4,3,reflective,strengthened,Writing the lead paragraph clarified that the Sankey is provisional and co-evolving with the data.,Review of practice 9.docx,storage; assets; infrastructure,practice,,,,,,,,,
Y1-J057,06/04/26,Year 1 / Term 2,graphic design,Intro paragraph and framing copy pass,documenting,clarification,graphic design,text,2,4,energised,strengthened,Linking the supporting repositories to the main platforms showed that process documentation is part of the research apparatus.,App copy draft,framing; copy,journal,,,,,,,,,
Y1-P033,08/04/26,Year 1 / Term 2,graphic design,Coded research journal and supporting repositories aligned with main apps,mapping,insight,visualisation,code,3,3,energised,opened,"Comparing Sankey, chord  and timeline patterns confirmed that process flow best matched the research question.",Review of practice 9.docx,coded journal; repositories; integration,practice,,,,,,,,,
Y1-J058,09/04/26,Year 1 / Term 2,workshop,Observable / D3 gallery review,reframing,confidence,visualisation,conversation,2,4,excited,strengthened,The reading helped justify a dataset made of coded practice events rather than only conventional metrics.,Workshop notes / bookmarks,observable; sankey,journal,,,,,,,,,
Y1-P042,09/04/26,Year 1 / Term 2,data science,Machine learning algorithms used in data science cheat sheet,documenting,clarification,data science,presentation,3,4,curious,strengthened,Assisted tagging looked promising but I worried about outsourcing interpretive labour too early.,Machine learning algorithms cheat sheet gallery card,algorithms; data science; machine learning; methods,practice,,,,,,,,,
Y1-J059,13/04/26,Year 1 / Term 2,reading,Text on practice-based research methods,reframing,insight,method,text,3,4,energised,strengthened,Writing up the lightweight architecture made constraint look methodologically productive rather than merely limiting.,Annotated methods reading,practice-based research; methods,journal,,,,,,,,,
Y1-P035,13/04/26,Year 1 / Term 2,conversation,V&A Research Review Committee approval email,documenting,confidence,archive,text,5,5,excited,strengthened,Juxtaposing institutional metadata with my own labels revealed where my values and theirs diverged.,Email from Matti Watton 13 Apr 2026; V&A Research Review Committee feedback,v&a; archive; access; approval; data agreement; uncatalogued material,practice,,,,,,,,,
Y1-J060,16/04/26,Year 1 / Term 2,machine learning,Active learning idea for assisted tagging,testing,question,machine learning,code,3,2,uncertain,opened,Different weighting strategies produced different stories making the interface feel more like an argument than an answer.,Notebook assisted-tagging,active learning; tags,journal,,,,,,,,,
Y1-P034,17/04/26,Year 1 / Term 2,machine learning,Lean CPU-only ML architecture clarified as methodological choice,reframing,clarification,machine learning,text,3,4,reflective,strengthened,The meeting reinforced the need to show uncertainty and gaps rather than smoothing them away for elegance.,Review of practice 9.docx,granite; cpu; architecture,practice,,,,,,,,,
Y1-W005,17/04/26,Year 1 / Term 2,writing,APR review of practice,writing,clarification,method,text,4,5,reflective,strengthened,Writing the APR review of practice consolidated the build as evidence of method rather than a set of separate technical outputs.,APR review of practice,review of practice; method; research apparatus writing,writing,,,,,,,,,
